Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,172,2,Some Random Commen with Id 0
1,0,5,161,0,Some Random Commen with Id 1
2,0,5,24,1,Some Random Commen with Id 2
3,0,5,46,8,Some Random Commen with Id 3
4,0,5,135,3,Some Random Commen with Id 4
5,0,5,62,5,Some Random Commen with Id 5
6,1,1,191,9,Some Random Commen with Id 6
7,1,1,3,0,Some Random Commen with Id 7
8,2,6,24,9,Some Random Commen with Id 8
9,2,6,178,8,Some Random Commen with Id 9
10,2,6,117,6,Some Random Commen with Id 10
11,3,0,188,4,Some Random Commen with Id 11
12,5,7,168,0,Some Random Commen with Id 12
13,5,7,17,8,Some Random Commen with Id 13
14,5,7,75,8,Some Random Commen with Id 14
15,5,7,26,7,Some Random Commen with Id 15
16,5,7,104,3,Some Random Commen with Id 16
17,5,7,64,9,Some Random Commen with Id 17
18,5,7,20,4,Some Random Commen with Id 18
19,6,3,83,9,Some Random Commen with Id 19
20,6,3,106,2,Some Random Commen with Id 20
21,6,3,9,7,Some Random Commen with Id 21
22,6,3,122,9,Some Random Commen with Id 22
23,7,0,0,8,Some Random Commen with Id 23
24,7,0,26,1,Some Random Commen with Id 24
25,7,0,141,0,Some Random Commen with Id 25
26,7,0,43,1,Some Random Commen with Id 26
27,7,0,120,6,Some Random Commen with Id 27
28,8,9,173,6,Some Random Commen with Id 28
29,9,7,104,1,Some Random Commen with Id 29
30,9,7,160,4,Some Random Commen with Id 30
31,9,7,84,5,Some Random Commen with Id 31
32,9,7,50,5,Some Random Commen with Id 32
33,10,5,12,7,Some Random Commen with Id 33
34,10,5,184,8,Some Random Commen with Id 34
35,10,5,108,3,Some Random Commen with Id 35
36,11,9,5,0,Some Random Commen with Id 36
37,13,1,40,4,Some Random Commen with Id 37
38,13,1,165,6,Some Random Commen with Id 38
39,13,1,132,2,Some Random Commen with Id 39
40,13,1,26,1,Some Random Commen with Id 40
41,14,1,134,6,Some Random Commen with Id 41
42,15,6,188,3,Some Random Commen with Id 42
43,15,6,151,1,Some Random Commen with Id 43
44,15,6,167,4,Some Random Commen with Id 44
45,15,6,181,9,Some Random Commen with Id 45
46,15,6,189,2,Some Random Commen with Id 46
47,15,6,90,4,Some Random Commen with Id 47
48,15,6,5,5,Some Random Commen with Id 48
49,15,6,75,7,Some Random Commen with Id 49
50,17,6,195,4,Some Random Commen with Id 50
51,17,6,131,7,Some Random Commen with Id 51
52,18,9,185,2,Some Random Commen with Id 52
53,18,9,132,7,Some Random Commen with Id 53
54,18,9,177,7,Some Random Commen with Id 54
55,18,9,66,2,Some Random Commen with Id 55
56,18,9,99,1,Some Random Commen with Id 56
57,18,9,45,2,Some Random Commen with Id 57
58,19,8,8,3,Some Random Commen with Id 58
59,19,8,89,8,Some Random Commen with Id 59
60,19,8,54,2,Some Random Commen with Id 60
61,19,8,194,3,Some Random Commen with Id 61
62,19,8,63,5,Some Random Commen with Id 62
63,19,8,30,7,Some Random Commen with Id 63
64,19,8,199,5,Some Random Commen with Id 64
65,19,8,142,5,Some Random Commen with Id 65
66,20,3,9,1,Some Random Commen with Id 66
67,20,3,45,9,Some Random Commen with Id 67
68,20,3,28,6,Some Random Commen with Id 68
69,20,3,66,0,Some Random Commen with Id 69
70,21,3,124,7,Some Random Commen with Id 70
71,21,3,129,4,Some Random Commen with Id 71
72,23,0,140,3,Some Random Commen with Id 72
73,23,0,101,8,Some Random Commen with Id 73
74,23,0,7,3,Some Random Commen with Id 74
75,23,0,75,7,Some Random Commen with Id 75
76,23,0,181,7,Some Random Commen with Id 76
77,23,0,58,7,Some Random Commen with Id 77
78,24,7,35,7,Some Random Commen with Id 78
79,24,7,60,8,Some Random Commen with Id 79
80,25,8,55,8,Some Random Commen with Id 80
81,25,8,67,9,Some Random Commen with Id 81
82,25,8,94,1,Some Random Commen with Id 82
83,25,8,80,9,Some Random Commen with Id 83
84,25,8,37,6,Some Random Commen with Id 84
85,25,8,131,8,Some Random Commen with Id 85
86,25,8,90,4,Some Random Commen with Id 86
87,25,8,135,0,Some Random Commen with Id 87
88,25,8,54,5,Some Random Commen with Id 88
89,26,2,177,1,Some Random Commen with Id 89
90,26,2,42,7,Some Random Commen with Id 90
91,26,2,17,8,Some Random Commen with Id 91
92,26,2,117,5,Some Random Commen with Id 92
93,26,2,111,6,Some Random Commen with Id 93
94,26,2,84,2,Some Random Commen with Id 94
95,26,2,6,1,Some Random Commen with Id 95
96,26,2,46,5,Some Random Commen with Id 96
97,26,2,65,0,Some Random Commen with Id 97
98,27,7,55,2,Some Random Commen with Id 98
99,28,9,101,2,Some Random Commen with Id 99
100,28,9,4,1,Some Random Commen with Id 100
101,28,9,153,0,Some Random Commen with Id 101
102,28,9,62,9,Some Random Commen with Id 102
103,28,9,119,4,Some Random Commen with Id 103
104,29,9,90,3,Some Random Commen with Id 104
105,29,9,33,8,Some Random Commen with Id 105
106,29,9,8,2,Some Random Commen with Id 106
107,29,9,3,3,Some Random Commen with Id 107
